pair,open_date,close_date,open_rate,close_rate,amount,stake_amount,profit_abs,profit_ratio,exit_reason,trade_duration,is_short
SOL/USDT,2025-04-21 04:50:00+00:00,2025-04-21 05:50:00+00:00,140.44,141.35,1.3,182.572,0.9632038,0.005272584099782227,roi,60,False
SOL/USDT,2025-04-21 05:55:00+00:00,2025-04-21 07:25:00+00:00,141.06,140.4,1.3,183.378,-1.0775388,-0.005872529225977812,exit_signal,90,False
ETH/USDT,2025-04-21 05:55:00+00:00,2025-04-21 09:00:00+00:00,1648.08,1650.058883329998,0.11,181.2888,-0.0180983,-9.977145599441947e-05,roi,185,False
BTC/USDT,2025-04-21 14:15:00+00:00,2025-04-21 15:15:00+00:00,87647.4,88191.14012407443,0.002,175.2948,0.876474,0.004997001798920648,roi,60,False
ETH/USDT,2025-04-21 14:25:00+00:00,2025-04-21 15:55:00+00:00,1629.3,1620.16,0.11,179.223,-1.21986436,-0.006802323810402889,exit_signal,90,False
BTC/USDT,2025-04-22 01:25:00+00:00,2025-04-22 03:15:00+00:00,88470.0,87871.3,0.002,176.94,-1.40900956,-0.007958430322161626,exit_signal,110,False
SOL/USDT,2025-04-22 03:20:00+00:00,2025-04-22 05:00:00+00:00,139.42,138.75,1.3,181.246,-1.0879726,-0.005999140438273258,exit_signal,100,False
SOL/USDT,2025-04-22 05:35:00+00:00,2025-04-22 06:30:00+00:00,139.59,138.85,1.3,181.467,-1.1791832,-0.006494162102924505,exit_signal,55,False
SOL/USDT,2025-04-22 07:35:00+00:00,2025-04-22 09:00:00+00:00,140.43,139.19,1.3,182.559,-1.83899036,-0.010067362482394983,exit_signal,85,False
ETH/USDT,2025-04-22 08:00:00+00:00,2025-04-22 09:00:00+00:00,1618.51,1628.5507864718832,0.11,178.0361,0.89008258,0.004996452127908812,roi,60,False
ETH/USDT,2025-04-22 09:25:00+00:00,2025-04-22 10:25:00+00:00,1627.06,1616.15,0.11,178.9766,-1.41415186,-0.007896584680195043,exit_signal,60,False
ETH/USDT,2025-04-22 11:45:00+00:00,2025-04-22 12:55:00+00:00,1628.7,1638.8040024014408,0.11,179.157,0.895785,0.004997001798920648,roi,70,False
SOL/USDT,2025-04-22 12:40:00+00:00,2025-04-22 13:20:00+00:00,140.61,142.24,1.3,182.793,1.898377,0.010379164720782067,roi,40,False
ETH/USDT,2025-04-22 13:00:00+00:00,2025-04-22 13:45:00+00:00,1634.35,1652.6657094256552,0.11,179.7785,1.797785,0.009994003597841295,roi,45,False
SOL/USDT,2025-04-22 13:25:00+00:00,2025-04-22 14:15:00+00:00,142.61,144.20819091454874,1.3,185.393,1.85393,0.009994003597841295,roi,50,False
BTC/USDT,2025-04-22 13:40:00+00:00,2025-04-22 14:40:00+00:00,89834.9,90690.5,0.002,179.6698,1.49456952,0.008313435624742687,roi,60,False
ETH/USDT,2025-04-22 13:50:00+00:00,2025-04-22 14:40:00+00:00,1647.71,1666.1754312587552,0.11,181.2481,1.812481,0.009994003597841295,roi,50,False
ETH/USDT,2025-04-22 14:45:00+00:00,2025-04-22 15:00:00+00:00,1669.01,1704.4142545527316,0.11,183.5911,3.671822,0.019988007195682594,roi,15,False
SOL/USDT,2025-04-22 14:20:00+00:00,2025-04-22 15:20:00+00:00,144.14,145.04,1.3,187.382,0.9444396,0.005037160858750464,roi,60,False
SOL/USDT,2025-04-22 15:35:00+00:00,2025-04-22 16:00:00+00:00,144.36,147.422269361617,1.3,187.668,3.74177588,0.01992631754323368,roi,25,False
BTC/USDT,2025-04-22 14:45:00+00:00,2025-04-22 16:45:00+00:00,90626.7,90746.8,0.002,181.2534,0.02607069,0.00014374934189273418,roi,120,False
ETH/USDT,2025-04-22 15:05:00+00:00,2025-04-22 19:35:00+00:00,1708.25,1694.86,0.11,187.9075,-1.71623441,-0.009127923509321892,exit_signal,270,False
SOL/USDT,2025-04-22 16:05:00+00:00,2025-04-22 19:35:00+00:00,145.72,144.15,1.3,189.436,-2.2670986,-0.01196044657037784,exit_signal,210,False
ETH/USDT,2025-04-22 21:10:00+00:00,2025-04-22 21:45:00+00:00,1701.68,1737.7772743646187,0.11,187.1848,3.743696,0.01998800719568259,roi,35,False
SOL/USDT,2025-04-22 21:20:00+00:00,2025-04-22 21:45:00+00:00,145.35,148.4332699619772,1.3,188.955,3.7791,0.01998800719568259,roi,25,False
SOL/USDT,2025-04-22 21:50:00+00:00,2025-04-22 22:55:00+00:00,148.46,149.38100460276164,1.3,192.998,0.96499,0.004997001798920648,roi,65,False
BTC/USDT,2025-04-22 21:50:00+00:00,2025-04-22 23:50:00+00:00,93436.3,93600.0,0.002,186.8726,0.10295644,0.0005506141787404528,roi,120,False
BTC/USDT,2025-04-23 00:05:00+00:00,2025-04-23 00:55:00+00:00,93579.9,92900.4,0.002,187.1598,-1.58277636,-0.008451746922372298,exit_signal,50,False
ETH/USDT,2025-04-22 21:50:00+00:00,2025-04-23 01:10:00+00:00,1777.4,1779.5341604962978,0.1,177.74,-0.00426074,-2.395738206901447e-05,roi,200,False
SOL/USDT,2025-04-22 23:00:00+00:00,2025-04-23 01:55:00+00:00,149.05,147.72,1.3,193.765,-1.9798129,-0.010211471238692545,exit_signal,175,False
ETH/USDT,2025-04-23 01:15:00+00:00,2025-04-23 02:20:00+00:00,1775.62,1786.635453271963,0.1,177.562,0.88781,0.004997001798920648,roi,65,False
SOL/USDT,2025-04-23 02:25:00+00:00,2025-04-23 04:25:00+00:00,148.65,148.82848709225536,1.3,193.245,0.0,0.0,roi,120,False
ETH/USDT,2025-04-23 02:25:00+00:00,2025-04-23 04:55:00+00:00,1803.08,1805.244994996998,0.1,180.308,0.0,0.0,roi,150,False
SOL/USDT,2025-04-23 04:35:00+00:00,2025-04-23 05:35:00+00:00,149.76,151.23,1.2,179.712,1.5472872,0.008604652913380178,roi,60,False
ETH/USDT,2025-04-23 05:00:00+00:00,2025-04-23 06:55:00+00:00,1816.19,1786.04,0.1,181.619,-3.2311338,-0.017780057605375328,exit_signal,115,False
SOL/USDT,2025-04-23 06:15:00+00:00,2025-04-23 07:10:00+00:00,151.7,150.35,1.2,182.04,-1.837476,-0.010087750909111752,exit_signal,55,False
SOL/USDT,2025-04-23 08:00:00+00:00,2025-04-23 09:00:00+00:00,151.52,152.4599879927957,1.2,181.824,0.89798218,0.004935782480705171,roi,60,False
ETH/USDT,2025-04-23 08:15:00+00:00,2025-04-23 10:00:00+00:00,1796.99,1784.66,0.1,179.699,-1.447899,-0.008052525509496889,exit_signal,105,False
SOL/USDT,2025-04-23 09:15:00+00:00,2025-04-23 10:00:00+00:00,153.17,151.56,1.2,183.804,-2.1514056,-0.011697871268751447,exit_signal,45,False
ETH/USDT,2025-04-23 10:25:00+00:00,2025-04-23 11:25:00+00:00,1794.72,1806.9,0.1,179.472,1.0019028,0.005579154513176021,roi,60,False
SOL/USDT,2025-04-23 11:10:00+00:00,2025-04-23 11:55:00+00:00,152.74,151.72,1.2,183.288,-1.4432112,-0.007869286546443222,exit_signal,45,False
ETH/USDT,2025-04-23 12:05:00+00:00,2025-04-23 13:05:00+00:00,1802.65,1813.8331398839302,0.1,180.265,0.901325,0.0049970017989206484,roi,60,False
SOL/USDT,2025-04-23 13:10:00+00:00,2025-04-23 13:40:00+00:00,152.67,151.76,1.2,183.204,-1.3111896,-0.007152700585059327,exit_signal,30,False
ETH/USDT,2025-04-23 13:20:00+00:00,2025-04-23 13:40:00+00:00,1816.19,1793.78,0.1,181.619,-2.4575982,-0.013523499883188593,exit_signal,20,False
BTC/USDT,2025-04-23 13:50:00+00:00,2025-04-23 13:55:00+00:00,93876.2,93436.5,0.002,187.7524,-1.10417524,-0.005877491484107407,exit_signal,5,False
BTC/USDT,2025-04-23 16:00:00+00:00,2025-04-23 17:00:00+00:00,93133.0,93710.77126275765,0.002,186.266,0.92716091,0.004974632767288614,roi,60,False
ETH/USDT,2025-04-23 16:00:00+00:00,2025-04-23 18:00:00+00:00,1793.62,1799.94,0.1,179.362,0.40632116,0.0022640108467340066,roi,120,False
SOL/USDT,2025-04-23 16:40:00+00:00,2025-04-23 18:45:00+00:00,151.89,150.75,1.2,182.268,-1.5859008,-0.008695710876851335,exit_signal,125,False
BTC/USDT,2025-04-23 17:05:00+00:00,2025-04-23 19:00:00+00:00,93768.9,93562.7,0.002,187.5378,-0.63719792,-0.0033956665296366864,exit_signal,115,False
ETH/USDT,2025-04-23 18:05:00+00:00,2025-04-23 19:05:00+00:00,1797.47,1791.59,0.1,179.747,-0.8033436,-0.004466621878920249,exit_signal,60,False
ETH/USDT,2025-04-23 20:20:00+00:00,2025-04-23 21:45:00+00:00,1794.68,1788.93,0.1,179.468,-0.7900166,-0.004399351830273,exit_signal,85,False
SOL/USDT,2025-04-23 20:30:00+00:00,2025-04-23 21:45:00+00:00,150.81,150.4,1.2,180.972,-0.7088712,-0.0039146726141094075,exit_signal,75,False
